parameter,display_name,unit,target_lcoe_gbp_per_mwh,threshold_value,reference_value,reference_lcoe_gbp_per_mwh,best_lcoe_in_range_gbp_per_mwh,lcoe_at_threshold_gbp_per_mwh,solution_method,status
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,GBP/kW-delivered AC,150,300,100,86.0297339990382,84.7384379405481,89.2579741452635,monotonic bisection,limiting value meeting target
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,GBP/kW-delivered AC,120,300,100,86.0297339990382,84.7384379405481,89.2579741452635,monotonic bisection,limiting value meeting target
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,GBP/kW-delivered AC,100,300,100,86.0297339990382,84.7384379405481,89.2579741452635,monotonic bisection,limiting value meeting target
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,GBP/kW-delivered AC,80,,100,86.0297339990382,84.7384379405481,,monotonic bisection,not reached within explored one-way range
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,GBP/kW-delivered AC,60,,100,86.0297339990382,84.7384379405481,,monotonic bisection,not reached within explored one-way range
programme_contingency_fraction,Initial programme contingency,fraction of pre-contingency initial CAPEX,150,0.5,0.2,86.0297339990382,73.1870025188572,105.29383121931,monotonic bisection,limiting value meeting target
programme_contingency_fraction,Initial programme contingency,fraction of pre-contingency initial CAPEX,120,0.5,0.2,86.0297339990382,73.1870025188572,105.29383121931,monotonic bisection,limiting value meeting target
programme_contingency_fraction,Initial programme contingency,fraction of pre-contingency initial CAPEX,100,0.417559107616957,0.2,86.0297339990382,73.1870025188572,100,monotonic bisection,limiting value meeting target
programme_contingency_fraction,Initial programme contingency,fraction of pre-contingency initial CAPEX,80,0.106098885453717,0.2,86.0297339990382,73.1870025188572,80,monotonic bisection,limiting value meeting target
programme_contingency_fraction,Initial programme contingency,fraction of pre-contingency initial CAPEX,60,,0.2,86.0297339990382,73.1870025188572,,monotonic bisection,not reached within explored one-way range
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,fraction/year,150,0.03,0.006,86.0297339990382,81.9529420782113,102.336901682346,monotonic bisection,limiting value meeting target
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,fraction/year,120,0.03,0.006,86.0297339990382,81.9529420782113,102.336901682346,monotonic bisection,limiting value meeting target
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,fraction/year,100,0.0265606755590238,0.006,86.0297339990382,81.9529420782113,100,monotonic bisection,limiting value meeting target
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,fraction/year,80,,0.006,86.0297339990382,81.9529420782113,,monotonic bisection,not reached within explored one-way range
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,fraction/year,60,,0.006,86.0297339990382,81.9529420782113,,monotonic bisection,not reached within explored one-way range
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,fraction/year,150,0.02,0.003,86.0297339990382,85.9297727744616,86.5961809383055,monotonic bisection,limiting value meeting target
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,fraction/year,120,0.02,0.003,86.0297339990382,85.9297727744616,86.5961809383055,monotonic bisection,limiting value meeting target
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,fraction/year,100,0.02,0.003,86.0297339990382,85.9297727744616,86.5961809383055,monotonic bisection,limiting value meeting target
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,fraction/year,80,,0.003,86.0297339990382,85.9297727744616,,monotonic bisection,not reached within explored one-way range
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,fraction/year,60,,0.003,86.0297339990382,85.9297727744616,,monotonic bisection,not reached within explored one-way range
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,fraction/year,150,0.05,0.01,86.0297339990382,84.5924604209991,93.2161018892333,monotonic bisection,limiting value meeting target
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,fraction/year,120,0.05,0.01,86.0297339990382,84.5924604209991,93.2161018892333,monotonic bisection,limiting value meeting target
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,fraction/year,100,0.05,0.01,86.0297339990382,84.5924604209991,93.2161018892333,monotonic bisection,limiting value meeting target
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,fraction/year,80,,0.01,86.0297339990382,84.5924604209991,,monotonic bisection,not reached within explored one-way range
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,fraction/year,60,,0.01,86.0297339990382,84.5924604209991,,monotonic bisection,not reached within explored one-way range
variable_opex_gbp_per_mwh,Variable O&M,GBP/MWh delivered,150,20,3,86.0297339990382,83.0297339990382,103.029733999038,monotonic bisection,limiting value meeting target
variable_opex_gbp_per_mwh,Variable O&M,GBP/MWh delivered,120,20,3,86.0297339990382,83.0297339990382,103.029733999038,monotonic bisection,limiting value meeting target
variable_opex_gbp_per_mwh,Variable O&M,GBP/MWh delivered,100,16.9702660009618,3,86.0297339990382,83.0297339990382,100,monotonic bisection,limiting value meeting target
variable_opex_gbp_per_mwh,Variable O&M,GBP/MWh delivered,80,,3,86.0297339990382,83.0297339990382,,monotonic bisection,not reached within explored one-way range
variable_opex_gbp_per_mwh,Variable O&M,GBP/MWh delivered,60,,3,86.0297339990382,83.0297339990382,,monotonic bisection,not reached within explored one-way range
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,fraction of initial CAPEX,150,0.2,0.02,86.0297339990382,85.8316803445554,87.8122168893834,monotonic bisection,limiting value meeting target
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,fraction of initial CAPEX,120,0.2,0.02,86.0297339990382,85.8316803445554,87.8122168893834,monotonic bisection,limiting value meeting target
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,fraction of initial CAPEX,100,0.2,0.02,86.0297339990382,85.8316803445554,87.8122168893834,monotonic bisection,limiting value meeting target
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,fraction of initial CAPEX,80,,0.02,86.0297339990382,85.8316803445554,,monotonic bisection,not reached within explored one-way range
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,fraction of initial CAPEX,60,,0.02,86.0297339990382,85.8316803445554,,monotonic bisection,not reached within explored one-way range
residual_value_fraction_initial_capex,Terminal residual value,fraction of initial CAPEX,150,0,0,86.0297339990382,84.0491974542102,86.0297339990382,monotonic bisection,limiting value meeting target
residual_value_fraction_initial_capex,Terminal residual value,fraction of initial CAPEX,120,0,0,86.0297339990382,84.0491974542102,86.0297339990382,monotonic bisection,limiting value meeting target
residual_value_fraction_initial_capex,Terminal residual value,fraction of initial CAPEX,100,0,0,86.0297339990382,84.0491974542102,86.0297339990382,monotonic bisection,limiting value meeting target
residual_value_fraction_initial_capex,Terminal residual value,fraction of initial CAPEX,80,,0,86.0297339990382,84.0491974542102,,monotonic bisection,not reached within explored one-way range
residual_value_fraction_initial_capex,Terminal residual value,fraction of initial CAPEX,60,,0,86.0297339990382,84.0491974542102,,monotonic bisection,not reached within explored one-way range
