parameter,display_name,unit,value,lcoe_gbp_per_mwh
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.661,86.94169736564812
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6655,86.83101580349815
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6699999999999999,86.72182100860094
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6745,86.61408322356894
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.679,86.50777347987018
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6835,86.40286357186021
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.688,86.29932603183298
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6925,86.19713410604432
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6970000000000001,86.09626173166474
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7015,85.99668351461854
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.706,85.89837470827129
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7105,85.8013111929263
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7150000000000001,85.70546945609617
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7195,85.61082657351407
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.724,85.51736019085357
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7284999999999999,85.42504850612572
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.733,85.33387025272471
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7375,85.24380468309397
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.742,85.1548315529871
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7464999999999999,85.06693110629743
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.751,84.98008406043361
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7555000000000001,84.89427159221742
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.76,84.80947532428273
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7645,84.72567731195485
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.769,84.6428600305905
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7735000000000001,84.56100636335968
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.778,84.48009958945157
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7825,84.40012337268747
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7869999999999999,84.32106175052421
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.7915,84.24289912343293
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.796,84.16562024463792
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.8005,84.0892102102016
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.8049999999999999,84.01365444944223
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.8095,83.93893871567093
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.8140000000000001,83.86504907723615
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.8185,83.79197190886357
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.823,83.71969388328
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.8275,83.64820196311065
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.832,83.57748339303926
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.8365,83.50752569222149
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.841,83.43831664694163
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.8454999999999999,83.36984430350387
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.85,83.30209696134955
transmission_efficiency,RF transmission efficiency,fraction,0.85,88.80737771575107
transmission_efficiency,RF transmission efficiency,fraction,0.8514499999999999,88.77171880157799
transmission_efficiency,RF transmission efficiency,fraction,0.8529,88.73618113356633
transmission_efficiency,RF transmission efficiency,fraction,0.8543499999999999,88.70076409438038
transmission_efficiency,RF transmission efficiency,fraction,0.8558,88.66546707086823
transmission_efficiency,RF transmission efficiency,fraction,0.85725,88.63028945402645
transmission_efficiency,RF transmission efficiency,fraction,0.8587,88.59523063896512
transmission_efficiency,RF transmission efficiency,fraction,0.86015,88.560290024873
transmission_efficiency,RF transmission efficiency,fraction,0.8616,88.52546701498333
transmission_efficiency,RF transmission efficiency,fraction,0.86305,88.49076101653996
transmission_efficiency,RF transmission efficiency,fraction,0.8644999999999999,88.45617144076341
transmission_efficiency,RF transmission efficiency,fraction,0.86595,88.42169770281784
transmission_efficiency,RF transmission efficiency,fraction,0.8674,88.38733922177802
transmission_efficiency,RF transmission efficiency,fraction,0.86885,88.35309542059666
